Organisation,SectorJo,RegionCODE,GovCODE,Status,Total,Budget_life,Budget_prevent,Budget_resilient,admin
WVI,FOOD,2,1705,Ongoing,500000,0,500000,0,Amman
ACTED,HEALTH,1,1707,Planned,200000,0,200000,0,Irbid
ActionAid,HEALTH,2,1705,Completed,1425000,0,1425000,0,Amman
Caritas,HEALTH,2,1705,Ongoing,6800000,6800000,0,0,Amman
CVT,HEALTH,2,1705,Planned,1250000,0,1250000,0,Amman
CVT,HEALTH,2,1712,Completed,1250000,0,1250000,0,Zarqa
FRC,HEALTH,2,1705,Ongoing,3000000,0,1800000,1200000,Amman
IMC,HEALTH,1,1701,Planned,172334,0,171809,525,Ajlun
IMC,HEALTH,2,1702,Completed,94084,0,93384,700,Al Balqa
IMC,HEALTH,2,1705,Ongoing,502002,0,362325,139677,Amman
IMC,HEALTH,1,1707,Planned,255325,0,225200,30125,Irbid
IMC,HEALTH,1,1708,Completed,87084,0,87084,0,Jarash
IMC,HEALTH,2,1704,Ongoing,5250,0,4725,525,Karak
IMC,HEALTH,3,1709,Planned,87084,0,87084,0,Maan
IMC,HEALTH,1,1711,Completed,1071947,0,1060197,11750,Mafraq
IMC,HEALTH,2,1712,Ongoing,3652359,3500000,141534,10825,Zarqa
IOM,HEALTH,2,1704,Planned,431089,277000,154089,0,Karak
IOM,HEALTH,3,1709,Completed,287381,184655,102726,0,Maan
IR,HEALTH,2,1705,Ongoing,1990864,0,1990864,0,Amman
IR,HEALTH,1,1707,Planned,2215088.4,0,2215088.4,0,Irbid
IRC,HEALTH,1,1707,Completed,1530000,1530000,0,0,Irbid
IRC,HEALTH,1,1711,Ongoing,2030000,2030000,0,0,Mafraq
IRD,HEALTH,2,1702,Planned,210700,0,210700,0,Al Balqa
IRD,HEALTH,2,1705,Completed,200000,0,200000,0,Amman
IRD,HEALTH,1,1707,Ongoing,221400,0,221400,0,Irbid
IRD,HEALTH,2,1704,Planned,210700,0,210700,0,Karak
IRD,HEALTH,3,1709,Completed,210700,0,210700,0,Maan
IRD,HEALTH,1,1711,Ongoing,210700,0,210700,0,Mafraq
IRD,HEALTH,2,1712,Planned,210700,0,210700,0,Zarqa
JHAS,HEALTH,2,1702,Completed,350000,0,350000,0,Al Balqa
JHAS,HEALTH,2,1704,Ongoing,350000,0,350000,0,Karak
MDM,HEALTH,1,1707,Planned,2075000,1400000,645000,30000,Irbid
NICCOD,HEALTH,2,1712,Completed,177500,30000,147500,0,Zarqa
OPM,HEALTH,2,1705,Ongoing,140000,0,115000,25000,Amman
RHAS,HEALTH,1,1707,Planned,480000,480000,0,0,Irbid
RHAS,HEALTH,2,1712,Completed,240000,240000,0,0,Zarqa
RI,HEALTH,2,1705,Ongoing,3125000,0,3125000,0,Amman
RI,HEALTH,1,1707,Planned,950000,950000,0,0,Irbid
RI,HEALTH,2,1704,Completed,750000,750000,0,0,Karak
RI,HEALTH,1,1711,Ongoing,650000,650000,0,0,Mafraq
TDHI,HEALTH,3,1703,Planned,80000,0,80000,0,Aqaba
TDHI,HEALTH,3,1706,Completed,116000,0,116000,0,Tafileh
TDHI,HEALTH,2,1712,Ongoing,59000,0,59000,0,Zarqa
UNFPA,HEALTH,2,1702,Planned,271089,12000,259089,0,Al Balqa
UNFPA,HEALTH,2,1705,Completed,755846,60400,695446,0,Amman
UNFPA,HEALTH,1,1707,Ongoing,454979,56800,398179,0,Irbid
UNFPA,HEALTH,2,1704,Planned,295489,6400,289089,0,Karak
